Name,Population-weighted tree cover,5-year change,Annual rainfall (inches),Average annual temperature (daily high),Total population,Population density (persons per sq mi),Tree cover in peer cities,List of peer cities
"Jefferson City, Mo.",39.1,0.7,44.5,66.8,61417,1777,29.6,"St. Joseph, Mo./Kan. // Alton, Ill. // Lee's Summit, Mo. // Joplin, Mo. // Columbia, Mo."
"Jefferson, Ga.",52.1,-1.2,55.7,72.9,21844,2024,NaN,-
"Jefferson, Wis.",18.6,-3.2,37.7,57.2,8731,1787,NaN,-
"Jennings, La.",29.7,-2.5,64,78.3,11612,1504,NaN,-
"Jerome, Idaho",10.1,2.2,10.6,63,17004,3105,NaN,-
"Jersey Shore, Pa.",34,5.8,44.1,61.6,13549,1820,NaN,-
"Jerseyville, Ill.",16.5,-0.8,44.2,65.1,10514,2205,NaN,-
"Jesup, Ga.",47.7,-2.2,53.4,79,20165,1692,NaN,-
"Jewett City, Conn.",42.6,-2,51.7,61,6490,2312,NaN,-
"Johnson City, Tenn.",33.2,0.7,52.3,68.2,174455,1526,39.9,"Charleston, W.Va. // Kingsport, Tenn./Va. // Bristol, Tenn./Va. // Morristown, Tenn. // Asheville, N.C."
"Johnson Lane, Nev.",8.1,0.2,10.4,68.2,6642,1598,NaN,-
"Johnstown, Colo.",7.4,2,14.2,66.7,22640,3896,NaN,-
"Johnstown, Ohio",23.1,0.5,48,61.9,7966,2773,NaN,-
"Johnstown, Pa.",38.4,5.7,48.2,59.4,71707,2051,36.4,"Monessen, Pa. // Altoona, Pa. // Jamestown, N.Y. // Sharon–Hermitage, Pa./Ohio // Butler, Pa."
"Jonesboro, Ark.",30.7,3.2,58.2,70.4,84690,1819,35.5,"Jackson, Tenn. // Conway, Ark. // Cape Girardeau, Mo./Ill. // Paducah, Ky./Ill. // Pine Bluff, Ark."
"Jonesboro, La.",45.1,-3.5,59.5,77.2,8140,1416,NaN,-
"Joplin, Mo.",27.7,1.2,50.1,69,101051,1667,30.6,"Lee's Summit, Mo. // Fort Smith, Ark./Okla. // Jefferson City, Mo. // Springfield, Mo. // Fayetteville–Springdale–Rogers, Ark./Mo."
"Jordan, Minn.",28.2,0.1,32.7,55.1,6604,2249,NaN,-
"Joshua Tree, Calif.",3.1,-1.2,4.9,79.4,6964,1829,NaN,-
"Junction City, Kan.",24.5,3.4,35.1,67.4,41767,1678,NaN,-
"Junction City, Ore.",9.7,0.6,41.7,64.1,10939,3871,NaN,-
"Juneau, Alaska",41.9,NaN,89.4,47.8,30474,2084,NaN,-
"Kahului–Wailuku, Hawaii",14.5,NaN,NaN,NaN,59380,4361,NaN,-
"Kailua (Hawaii County), Hawaii",24.6,NaN,NaN,NaN,46386,2184,NaN,-
"Kailua (Honolulu County)–Kaneohe, Hawaii",23.5,NaN,NaN,NaN,123557,3804,NaN,-
"Kalamazoo, Mich.",40.5,-0.4,40.7,59.5,228075,1974,30,"Elkhart, Ind./Mich. // South Bend, Ind./Mich. // Lansing, Mich. // Fort Wayne, Ind. // Holland, Mich."
"Kalispell, Mont.",14.9,3.3,17.7,56.3,45542,2404,NaN,-
"Kankakee, Ill.",21.8,-0.7,41,60.7,72232,2228,24.3,"Kokomo, Ind. // DeKalb, Ill. // Valparaiso–Shorewood Forest, Ind. // Michigan City–La Porte, Ind./Mich. // Bloomington–Normal, Ill."
"Kapaa, Hawaii",33.1,NaN,NaN,NaN,24384,2043,NaN,-
"Kaplan, La.",21.6,-0.7,64,78.3,5935,2363,NaN,-
"Kasson, Minn.",17.7,1.5,36.9,54.3,9034,2655,NaN,-
"Kaufman, Texas",24.9,3.2,43,77.3,9900,3242,NaN,-
"Kearney, Mo.",22.1,2.3,42.9,65.2,14243,2526,NaN,-
"Kearney, Neb.",11.4,-0.7,25.7,63.2,36320,1985,NaN,-
"Keene, N.H.",46,-0.3,48.9,58.3,26989,1841,NaN,-
"Kekaha, Hawaii",26.5,NaN,NaN,NaN,5172,2491,NaN,-
"Kenai, Alaska",37.2,NaN,18.3,45,15466,1115,NaN,-
"Kendallville, Ind.",17.5,-1,41.7,59.2,14003,2427,NaN,-
"Kennett, Mo.",18.4,2.1,52.8,70.2,11826,1860,NaN,-
"Kenosha, Wis.",20.9,0.2,36.7,57.4,137498,2248,24.5,"Racine, Wis. // Janesville, Wis. // Beloit, Wis./Ill. // DeKalb, Ill. // Round Lake Beach–McHenry–Grayslake, Ill./Wis."
"Kenton, Ohio",13.9,4,41.5,61.4,12808,2992,NaN,-
"Keokuk, Iowa/Ill.",33.1,-2.3,42.5,62.6,14084,1549,NaN,-
"Kerman, Calif.",10.1,1.3,10.1,78.6,16269,5903,NaN,-
"Kermit, Texas",5.9,-1.1,9.4,80.4,6158,2378,NaN,-
"Kerrville, Texas",32.1,3.8,27,79.1,45048,2056,NaN,-
"Ketchikan, Alaska",44.3,NaN,125.7,52,13910,603,NaN,-
"Ketchum, Idaho",24.2,-1.7,18.8,56.2,7734,968,NaN,-
"Kewanee, Ill.",21.8,-0.7,42.4,59.9,13285,2239,NaN,-
"Key Largo, Fla.",51.6,4.7,46.5,83.7,21326,1271,NaN,-
"Key West, Fla.",29.1,5,43.2,84,32021,4015,NaN,-
"Keyser, W.Va./Md.",31.9,1.5,40,64.7,10095,2986,NaN,-
"Keystone Heights, Fla.",51,-2.8,58.3,81.2,11629,1017,NaN,-
"Kihei, Hawaii",17.5,NaN,NaN,NaN,29860,3617,NaN,-
"Kilgore, Texas",43.2,-0.5,49.6,77.4,25921,1193,NaN,-
"Kill Devil Hills–Nags Head, N.C.",34.7,2.1,55.3,70.6,24890,724,NaN,-
"Kimberling City, Mo.",50.9,-1.3,51.2,68.9,9087,979,NaN,-
"King City, Calif.",9.4,0.5,12.3,78.3,15498,5320,NaN,-
"Kingman, Ariz.",5,0.3,8.7,77.3,51783,2293,10.5,"Sierra Vista, Ariz. // Fallbrook, Calif. // Prescott–Prescott Valley, Ariz. // St. George, Utah // Victorville–Hesperia–Apple Valley, Calif."
"Kings Mountain, N.C.",44.6,4.1,51.1,71.7,21990,1712,NaN,-
"Kingsburg, Calif.",10.5,0.1,9.6,78.8,16773,3813,NaN,-
"Kingsland, Texas",34.4,2.5,29,81.4,11898,1145,NaN,-
"Kingsland–St. Marys, Ga.",49.5,-0.8,54.5,79.2,45863,1490,NaN,-
"Kingsport, Tenn./Va.",36.6,0.5,50.4,68.5,119806,1211,40,"Bristol, Tenn./Va. // Morristown, Tenn. // Johnson City, Tenn. // Hickory, N.C. // Asheville, N.C."
"Kingston, N.Y.",48.5,0.5,53.7,61.3,62097,1946,49.5,"East Stroudsburg–Stroudsburg, Pa. // Putnam–Killingly, Conn. // Middletown, N.Y. // Kiryas Joel, N.Y. // Amherst Town–Northampton–Easthampton Town, Mass."
"Kingstree, S.C.",43.7,1.7,55.5,75.8,8812,1735,NaN,-
"Kingsville, Texas",17.9,-1,27,84.6,26003,2072,NaN,-
"Kinross, Mich.",13,-1.3,39.3,51.4,5838,1837,NaN,-
"Kinston, N.C.",34,3.5,55.1,73.3,28114,1572,NaN,-
"Kirksville, Mo.",20.9,-0.6,43.9,62.6,18577,2156,NaN,-
"Kirtland, N.M.",9.3,0.2,7,69.7,9653,1336,NaN,-
"Kiryas Joel, N.Y.",48.3,-2.7,54,60.5,85274,2747,37.9,"Middletown, N.Y. // Kingston, N.Y. // Hazleton, Pa. // Utica, N.Y. // Waterbury, Conn."
"Kittanning–Ford City, Pa.",34,3,49.7,61,20782,1926,NaN,-
"Klamath Falls–Altamont, Ore.",10.6,0.1,14.2,61.9,49935,2049,NaN,-
"Knoxville, Iowa",18.6,-0.8,39.2,60.9,8716,2268,NaN,-
"Kodiak–Mill Bay, Alaska",39.3,NaN,82,46.8,9221,1883,NaN,-
"Kokomo, Ind.",20.6,-1.5,42.7,61.5,73349,2256,24.8,"Kankakee, Ill. // Valparaiso–Shorewood Forest, Ind. // Anderson, Ind. // Muncie, Ind. // Lafayette, Ind."
"Kosciusko, Miss.",49.7,-0.6,66.2,74.9,8024,1446,NaN,-
"Krum, Texas",11.5,2.1,40.2,76.6,10073,2483,NaN,-
"Kuna, Idaho",9.7,3.1,11.3,65.2,28156,4312,NaN,-
"Kutztown, Pa.",18.3,3.5,52.8,62.5,13839,2960,NaN,-
"La Crosse, Wis./Minn.",24.3,-2.2,39.1,56.9,110248,2469,25.6,"Eau Claire, Wis. // Waterloo, Iowa // Rochester, Minn. // Oshkosh, Wis. // Dubuque, Iowa/Ill."
"La Follette, Tenn.",41.3,0.6,63.1,68.6,30653,1271,NaN,-
"La Grande, Ore.",14.9,2.4,23.9,61.5,15705,2690,NaN,-
"La Grange, Ky.",37.7,3.2,56.5,66.5,33659,1609,NaN,-
"La Grange, Texas",28.3,-1.7,39.6,80.8,7504,1965,NaN,-
"La Junta, Colo.",12.4,2.5,13.1,71,8425,2193,NaN,-
"La Plata, Md.",52.5,-4.8,53.7,66.9,13594,2024,NaN,-
"LaBelle, Fla.",36.4,-3,57.2,85.3,20904,2505,NaN,-
"LaFayette, Ga.",47.7,-3.1,60.9,72,11908,1868,NaN,-
"LaGrange, Ga.",53.9,0.5,58.1,74.7,45218,1436,NaN,-
"Laconia, N.H.",51.8,-3.6,49.6,57.1,44351,1418,NaN,-
"Lafayette, Ind.",24,-1.5,42.2,62.1,170519,2449,20.5,"Champaign, Ill. // Bloomington–Normal, Ill. // Muncie, Ind. // Kokomo, Ind. // Kankakee, Ill."
"Lafayette, La.",23.3,-0.1,66.9,78.5,244436,1503,29,"Lake Charles, La. // Houma, La. // Beaumont, Texas // Mandeville–Covington, La. // Port Arthur, Texas"
"Lafayette, Tenn.",25.3,-0.2,64.1,69,13280,2508,NaN,-
"Lafayette–Erie–Louisville, Colo.",12.1,-0.1,17.1,66.4,106577,2700,17.2,"Longmont, Colo. // Castle Rock, Colo. // Boulder, Colo. // Greeley, Colo. // Fort Collins, Colo."
"Lago Vista (Travis County), Texas",46,0.9,32.5,80.8,10310,1176,NaN,-
"Lahaina–Napili-Honokowai, Hawaii",15.9,NaN,NaN,NaN,23428,3827,NaN,-
"Laie–Hauula, Hawaii",26,NaN,NaN,NaN,11837,3478,NaN,-
"Lake Bryant, Fla.",54,-0.9,59.1,82.5,5898,1837,NaN,-
"Lake Charles, La.",20.9,-7.4,65.7,78.6,177453,1380,26.1,"Houma, La. // Beaumont, Texas // Lafayette, La. // Port Arthur, Texas // Alexandria, La."
"Lake City, Fla.",45,-0.3,58.4,80.7,41384,1438,NaN,-
"Lake City, Minn.",27.2,-1.9,35,56,6732,2398,NaN,-
"Lake City, S.C.",33.2,0.1,52.3,75.5,9626,1638,NaN,-
"Lake Conroe Eastshore, Texas",37.6,-1.6,49.1,80.1,19707,1586,NaN,-
"Lake Conroe Westshore, Texas",37.1,-2.2,49.6,80.2,40463,1683,NaN,-
"Lake Delton, Wis.",46.1,-1.8,39.2,56.6,8926,891,NaN,-
"Lake Erie Beach, N.Y.",51,-9.1,45,58.3,11063,1359,NaN,-
"Lake Geneva, Wis.",38.7,1.2,39.5,57.3,18857,1951,NaN,-
"Lake Havasu City, Ariz.",1.9,0.4,4.8,88,60663,1794,5.3,"Bullhead City, Ariz./Nev. // Casa Grande, Ariz. // El Centro, Calif. // Yuma, Ariz./Calif. // Indio–Palm Desert–Palm Springs, Calif."
"Lake Holiday, Ill.",22.6,1.6,41.9,59.7,8858,1854,NaN,-
"Lake Isabella, Calif.",11.6,0.6,10.2,76.1,5484,2303,NaN,-
"Lake Jackson, Texas",29.2,-2.2,50.4,79.7,62073,1651,33,"Lufkin, Texas // Victoria, Texas // Huntsville, Texas // Galveston–Texas City, Texas // The Woodlands–Conroe, Texas"
"Lake Mills, Wis.",31.5,0.5,38.2,57.1,9670,2402,NaN,-
"Lake Mohawk, N.J.",59.7,1.6,54.6,60.5,23133,2141,NaN,-
"Lake Monticello, Va.",74.8,3.8,47.9,68.6,12142,1776,NaN,-
"Lake Placid, Fla.",39.1,7,56.2,85,22754,825,NaN,-
"Lake Placid, N.Y.",49,-0.4,48.8,52.4,5987,1549,NaN,-
"Lake Pocotopaug, Conn.",68.6,-1.4,56.5,59.9,11534,1362,NaN,-
"Lake Royale, N.C.",71.6,-2.7,52.2,72,5308,1423,NaN,-
"Lake of the Pines, Calif.",40.3,-1.2,39.6,73.3,4979,1867,NaN,-
"Lake of the Woods, Va.",60.6,-2.2,47.5,67.7,11931,1523,NaN,-
"Lakeport, Calif.",27,2.9,36.1,73,12995,2029,NaN,-
"Lakes of the Four Seasons, Ind.",22.8,-1.3,43,59.9,18417,2643,NaN,-
"Lamar, Colo.",13.1,1.2,14.1,70.6,9695,2275,NaN,-
"Lambertville, N.J./Pa.",45.8,4.9,51,64.1,15984,2708,NaN,-
"Lamesa, Texas",12.5,0,16.9,77.3,10570,2430,NaN,-
"Lamont, Calif.",14.1,3.1,7.4,80,17143,6127,NaN,-
"Lampasas, Texas",32.6,1.7,30.9,79.6,8258,2180,NaN,-
"Lancaster, Ohio",26.6,1.2,44.6,63.6,54229,2696,26.5,"Zanesville, Ohio // Marion, Ohio // New Philadelphia–Dover, Ohio // Newark, Ohio // Springfield, Ohio"
"Lancaster, S.C.",59,3.9,49,73.5,32691,1462,NaN,-
"Lander, Wyo.",16.6,-1.5,14.3,58.9,9593,3244,NaN,-
"Landrum–Tryon, S.C./N.C.",54.4,0.5,63.1,71.2,9065,1652,NaN,-
"Lapeer, Mich.",28.3,2.2,34.6,57.9,22654,2502,NaN,-
"Laramie, Wyo.",8.9,0.8,12.6,56,34976,2306,NaN,-
"Larned, Kan.",18.6,5.8,27.3,69.3,3672,1767,NaN,-
"Las Cruces, N.M.",8.5,3,9.4,79,149685,2323,7.7,"Odessa, Texas // Los Lunas, N.M. // Sierra Vista, Ariz. // Roswell, N.M. // El Paso, Texas/N.M."
"Las Vegas, N.M.",9.6,0.4,16.3,67.7,15054,2195,NaN,-
"Laughlin, Nev.",4.1,2.2,5.1,87.7,8208,5371,NaN,-
"Laurel, Miss.",42.6,-3.2,66.3,77.8,35184,1732,NaN,-
"Laurel, Mont.",9,1.2,14.8,61,16991,2704,NaN,-
"Laurens, S.C.",51.6,2.1,49.8,73.5,16038,1661,NaN,-
"Laurinburg, N.C.",45.5,2.4,48.2,74.7,21626,1630,NaN,-
"Lawrence, Kan.",32.2,3.6,40.1,66.6,98294,3241,30.6,"Lee's Summit, Mo. // St. Joseph, Mo./Kan. // Manhattan, Kan. // Columbia, Mo. // Topeka, Kan."
"Lawrenceburg, Ky.",20.9,2.8,55.5,66.9,18533,2816,NaN,-
"Lawrenceburg, Tenn.",30.8,1.7,63.9,70.7,24315,2528,NaN,-
"Lawrenceville, Ill.",26.1,0.3,51.3,66.2,6267,2411,NaN,-
"Lawton, Okla.",13.7,3.1,32.3,75.3,95802,2042,22.5,"Wichita Falls, Texas // Norman, Okla. // Weatherford, Texas // Enid, Okla. // Stillwater, Okla."
"Le Mars, Iowa",16.5,-0.2,30.8,59.3,10652,1958,NaN,-
"Le Roy, N.Y.",39,1.3,38.8,57.6,7607,2553,NaN,-
"Lead, S.D.",41.5,2.7,29.7,56.3,5538,1497,NaN,-
"Leadville, Colo.",23.5,-1.6,19,49.5,5223,2118,NaN,-
"Leavenworth, Kan.",35.5,0.9,41.5,65.8,49863,2292,NaN,-
"Lebanon, Ind.",16.4,-0.6,44,61.8,18884,2262,NaN,-
"Lebanon, Ky.",14.4,1.5,60.2,67.7,10565,2138,NaN,-
"Lebanon, Mo.",23.4,0.1,50.3,66.9,20753,1665,NaN,-
"Lebanon, N.H./Vt.",53.5,-2,44,57.2,43843,1338,NaN,-
"Lebanon, Ore.",15.3,0.9,42.5,64.2,25441,2929,NaN,-
"Lebanon, Pa.",21.3,3.1,52.3,62.9,96482,2851,25.1,"Hanover, Pa. // Westminster, Md. // Middletown, Del. // Bloomsburg–Berwick, Pa. // Reading, Pa."
"Lebanon, Tenn.",21.5,-3.3,58.9,70.5,50881,1674,32.1,"Columbia, Tenn. // Cookeville, Tenn. // Decatur, Ala. // Cleveland, Tenn. // Bowling Green, Ky."
"Lee's Summit, Mo.",27.6,2.7,43.9,65.6,101045,2336,33.3,"Lawrence, Kan. // St. Joseph, Mo./Kan. // Columbia, Mo. // Jefferson City, Mo. // Topeka, Kan."
"Lee, Mass.",52.7,-3.1,50.7,57.7,12075,925,NaN,-
"Leesburg–Eustis–Tavares, Fla.",37.5,-2.4,52,83,180417,1747,33.2,"The Villages–Lady Lake, Fla. // Ocala, Fla. // Deltona, Fla. // Winter Haven, Fla. // Daytona Beach–Palm Coast–Port Orange, Fla."
"Leesville, La.",43.5,-1.1,59.8,78.6,11421,1644,NaN,-
"Lehighton–Palmerton–Jim Thorpe, Pa.",43.1,5.2,56,61.2,30425,3034,NaN,-
"Leisuretowne, N.J.",66.4,0.5,50.2,65.1,7164,2134,NaN,-
"Leitchfield, Ky.",25.6,4.2,59.1,67.9,14049,2558,NaN,-
"Lemoore Station, Calif.",4.6,-0.3,7.5,79.5,8166,1597,NaN,-
"Lemoore, Calif.",9.3,-1.6,7.6,79.1,29122,4360,NaN,-
"Leominster–Fitchburg, Mass.",46.8,-2,49.4,59.4,140540,2381,43.1,"New Bedford, Mass. // Amherst Town–Northampton–Easthampton Town, Mass. // Manchester, N.H. // Dover–Rochester, N.H./Maine // Concord, N.H."
"Leonardtown, Md.",50.7,2.5,52.4,67.9,13925,2118,NaN,-
"Levelland, Texas",9.3,0.9,17.1,75.1,13977,2186,NaN,-
"Lewes–Rehoboth Beach, Del.",30.4,1.3,48.9,66.7,49874,1226,NaN,-
"Lewisburg, Tenn.",33.1,-0.5,59.6,70.9,15188,1620,NaN,-
"Lewisburg, W.Va.",37.8,-0.5,46.5,63.4,13073,1854,NaN,-
"Lewiston, Idaho/Wash.",11.7,0.1,13.4,65.8,59168,2084,12.1,"Walla Walla, Wash./Ore. // Wenatchee, Wash. // Yakima, Wash. // Nampa, Idaho // Kennewick–Richland–Pasco, Wash."
"Lewiston, Maine",42.4,2.6,51.2,56.2,75590,2342,47.1,"Bangor, Maine // Dover–Rochester, N.H./Maine // Concord, N.H. // Leominster–Fitchburg, Mass. // Portland, Maine"
"Lewistown, Mont.",12.4,-0.6,18.3,57.2,7307,2511,NaN,-
"Lewistown, Pa.",32.7,2.4,44.2,62.3,29863,2469,NaN,-
"Lexington Park–California–Chesapeake Ranch Estates, Md.",62,3.3,51,67.8,76068,1559,42.5,"Salisbury, Md./Del. // Vineland, N.J. // Williamsburg, Va. // Waldorf, Md. // Dover, Del."
"Lexington, Neb.",9.4,-0.7,23.7,63.7,10836,2291,NaN,-
"Lexington, Tenn.",43,2.8,60.6,71.1,10718,1617,NaN,-
"Lexington, Va.",37.5,1.6,44.7,66.7,15522,2890,NaN,-
"Libby, Mont.",20.9,-1.5,26.1,59.3,7892,2212,NaN,-
"Liberal, Kan.",10.8,4.5,20.9,71.7,19099,1790,NaN,-
"Liberty, N.Y.",47.5,-4.5,59.6,56.2,7573,2475,NaN,-
"Liberty, Texas",44.1,0.4,58.5,79.6,10787,2009,NaN,-
"Lihue, Hawaii",25.8,NaN,NaN,NaN,17604,2481,NaN,-
"Lima, Ohio",23.8,0.1,42.3,61.4,75903,1514,25.1,"Mansfield, Ohio // Anderson, Ind. // Muncie, Ind. // Springfield, Ohio // Findlay, Ohio"
"Lincoln Beach, Ore.",39.1,2.2,77.4,58.8,6051,1822,NaN,-
"Lincoln City, Ore.",41.1,-0.2,90,59.1,11336,1360,NaN,-
"Lincoln, Ill.",17.3,-3.1,39.8,63.2,15407,1906,NaN,-
"Lincoln, N.H.",64.8,-3,48.5,55,3365,658,NaN,-
"Lincolnton, N.C.",49.5,3.2,52.6,71.6,39782,1381,NaN,-
"Lindale–Hideaway, Texas",37.8,0,48.9,77,23200,1620,NaN,-
"Lindsay, Calif.",9.9,-0.5,12.1,78.9,14957,5180,NaN,-
"Lindstrom–Chisago City, Minn.",31.2,0,34,54.9,13276,1475,NaN,-
"Linton, Ind.",21.2,-1.7,50.8,65.5,6423,2161,NaN,-
"Litchfield Beach, S.C.",52.3,-1.2,60.9,74.9,15805,904,NaN,-
"Litchfield, Ill.",17.8,-0.2,45.8,64.9,8709,1787,NaN,-
"Litchfield, Minn.",22.2,-0.8,31.4,53.7,9166,2356,NaN,-
"Little Falls, Minn.",30.3,-1.9,31.4,53.2,12137,1554,NaN,-
"Little Falls, N.Y.",43.9,-2.8,48,57.5,6869,1976,NaN,-
"Littlefield, Texas",10.2,0.9,17.6,74.6,6662,2224,NaN,-
"Littlestown, Pa.",22.1,4.4,47.1,63.9,10717,3112,NaN,-
"Live Oak (Sutter County), Calif.",16.4,1.1,22.3,76.7,10501,6296,NaN,-
"Live Oak, Fla.",44.6,-4.3,59.4,80.6,11997,2264,NaN,-
"Livermore–Pleasanton–Dublin, Calif.",16.3,1.9,16.8,72.6,249514,3572,15,"Antioch, Calif. // Vallejo, Calif. // Fairfield, Calif. // Gilroy–Morgan Hill, Calif. // Concord–Walnut Creek, Calif."
"Livingston, Calif.",9.1,2.3,12.3,77.1,15527,5878,NaN,-
"Livingston, Mont.",12.4,0.3,17,58.9,10983,2443,NaN,-
"Livingston, Texas",39.3,0.5,51.2,79.8,13533,1970,NaN,-
"Lock Haven, Pa.",31.1,4.3,42.5,61.6,19193,2252,NaN,-
"Lockhart, Texas",21.1,1,35.2,80.9,14705,1765,NaN,-
"Lockport, N.Y.",32.1,-2,43,58.1,43759,2464,NaN,-
"Lodi, Calif.",12.4,0.3,17.1,76.8,84172,5034,16.7,"Turlock, Calif. // Davis, Calif. // Woodland, Calif. // Tracy–Mountain House, Calif. // Yuba City, Calif."
"Logan, Ohio",31.4,2.3,44.9,64.2,12341,2797,NaN,-
"Logan, Utah",13.8,0.7,19.8,60.6,121631,2551,13.4,"Idaho Falls, Idaho // Billings, Mont. // Pocatello, Idaho // Bozeman, Mont. // Ogden–Layton, Utah"
"Logan, W.Va.",52.4,1,55.3,67.5,21941,3181,NaN,-
"Logansport, Ind.",26.3,-0.1,40.8,61.4,25896,2420,NaN,-
"Lompoc, Calif.",9.9,0.6,17,69.9,54256,5519,11.5,"Hollister, Calif. // San Luis Obispo, Calif. // Watsonville, Calif. // Santa Maria, Calif. // Salinas, Calif."
"London, Ohio",18.5,0.2,44.6,62.1,15599,3052,NaN,-
"London–Corbin, Ky.",34.4,2,60.7,67.4,63162,1311,27.5,"Cookeville, Tenn. // Richmond, Ky. // Lebanon, Tenn. // Morristown, Tenn. // Elizabethtown–Radcliff, Ky."
"Long Beach, Wash.",39.4,2.3,84.1,58.4,4563,1572,NaN,-
"Long Neck, Del.",35.9,1.2,50.2,66.8,24778,935,NaN,-
"Longmont, Colo.",17.1,2.1,15.2,66.4,109321,4016,16.2,"Lafayette–Erie–Louisville, Colo. // Castle Rock, Colo. // Boulder, Colo. // Greeley, Colo. // Fort Collins, Colo."
"Longview, Texas",40.2,-1.3,52.7,77.3,130014,1436,39.6,"Tyler, Texas // Alexandria, La. // Texarkana, Texas/Ark. // Shreveport, La. // Lufkin, Texas"
"Longview, Wash./Ore.",23.5,-0.2,50.4,62.6,76533,2111,32,"Albany, Ore. // Centralia, Wash. // Marysville, Wash. // Olympia–Lacey, Wash. // Bremerton, Wash."
"Lorain–Elyria, Ohio",32.7,1,41.1,60.4,234998,2104,34,"Canton, Ohio // Youngstown, Ohio // Ann Arbor, Mich. // Toledo, Ohio/Mich. // Akron, Ohio"
"Los Alamos, N.M.",21.2,-5.1,15.6,63,13629,1598,NaN,-
"Los Banos, Calif.",8.3,-0.7,10.4,77,45689,5448,NaN,-
"Los Lunas, N.M.",8.5,0.3,8.4,74.1,67315,1709,11.4,"Farmington, N.M. // Roswell, N.M. // Pueblo, Colo. // Grand Junction, Colo. // Las Cruces, N.M."
"Los Osos, Calif.",14.3,2,20.8,73.4,15156,3967,NaN,-
"Louisa, Ky./W.Va.",43.9,7.1,49.7,67.3,9352,2545,NaN,-
"Lovington, N.M.",6.5,1.3,14.8,76.2,11947,2605,NaN,-
"Lowell, Ind.",17.8,-0.8,41.1,60.3,14700,2753,NaN,-
"Lowell, Mich.",48.4,-1.2,40.5,58.5,11558,2031,NaN,-
"Ludington, Mich.",42.7,-0.5,40.9,55.9,15594,1223,NaN,-
"Lufkin, Texas",46.7,-0.7,51.2,78.6,54812,1483,36.9,"Lake Jackson, Texas // Texarkana, Texas/Ark. // Alexandria, La. // Longview, Texas // Tyler, Texas"
"Luling, Texas",32.4,0.7,32.8,81.4,6020,2176,NaN,-
"Lumberton, N.C.",35.5,2.2,51.4,74.6,33554,1646,NaN,-
"Luray, Va.",24.7,-0.5,42.4,66.4,7950,1930,NaN,-
"Luverne, Minn.",18.3,2,29.9,56.4,6159,2682,NaN,-
"Lynchburg, Va.",49.7,4.3,48.9,68.3,147605,1600,44.3,"Burlington, N.C. // Fredericksburg, Va. // High Point, N.C. // Roanoke, Va. // Danville, Va./N.C."
"Lynden, Wash.",13.7,0.7,49.5,59.4,21115,3959,NaN,-
"Macclenny, Fla.",51.5,-1.2,56,80.7,17667,2097,NaN,-
"Macomb, Ill.",24.5,-2,41.4,62,17078,1953,NaN,-
"Macon, Mo.",23.9,0.2,42.4,63.7,6353,1250,NaN,-
"Macon-Bibb County, Ga.",53.3,-1.3,53.9,76.8,154497,1544,46.6,"Warner Robins, Ga. // Anderson–Clemson, S.C. // Athens-Clarke County, Ga. // Albany, Ga. // Columbus, Ga./Ala."
"Madera, Calif.",10.8,1.6,11.1,77.8,89041,4249,10.8,"Turlock, Calif. // Porterville, Calif. // Tulare, Calif. // Hanford, Calif. // Visalia, Calif."
"Madison, Ga.",53.6,1.3,56.9,74.7,7178,1482,NaN,-
"Madison, Ind.",29.4,-1.9,54.5,65.4,22474,2067,NaN,-
"Madison, S.D.",16,-3.7,27.3,55.5,6361,1477,NaN,-
"Madisonville, Ky.",33.6,3.9,55.5,68.8,27344,1686,NaN,-
"Madisonville, Tenn.",30.1,0.7,62.6,70.9,14670,2046,NaN,-
"Madras, Ore.",6.8,1.1,10.5,63.7,10805,2310,NaN,-
"Magalia, Calif.",67.7,-9.6,53.4,70.2,9194,1564,NaN,-
"Magnolia, Ark.",38.4,-1,60,75.3,15015,1716,NaN,-
"Mahanoy City, Pa.",26.2,2.5,57,58.7,4197,5128,NaN,-
"Mahomet, Ill.",31.4,1.9,41.5,62.5,13806,1991,NaN,-
"Malone, N.Y.",32.3,-0.2,41.7,54.2,10694,3048,NaN,-
"Malvern, Ark.",46.8,0.4,59.9,73.6,10874,1636,NaN,-
"Mammoth Lakes, Calif.",35.9,2.9,21.7,58.6,7253,1918,NaN,-
"Manchester, Iowa",22.3,-4.9,39.5,57.6,6155,1727,NaN,-
"Manchester, N.H.",41.6,-2.7,46.4,59.3,187722,1879,49.2,"Norwich–New London, Conn. // Leominster–Fitchburg, Mass. // Amherst Town–Northampton–Easthampton Town, Mass. // Nashua, N.H./Mass. // Dover–Rochester, N.H./Maine"
"Manchester, Tenn.",31,0.9,62.8,69.7,22541,2166,NaN,-
"Mandeville–Covington, La.",55.8,-2.8,69.3,78.6,130162,1513,39.1,"Slidell, La. // Hattiesburg, Miss. // Hammond, La. // Houma, La. // Gulfport–Biloxi, Miss."
"Manhattan, Ill.",10.9,0.7,42.9,60.3,11841,2493,NaN,-
"Manhattan, Kan.",30.4,2.7,35,67.1,64616,2444,28.4,"St. Joseph, Mo./Kan. // Lawrence, Kan. // Lee's Summit, Mo. // Topeka, Kan. // Lincoln, Neb."
"Manistee, Mich.",33.7,2,40,56.1,11746,1264,NaN,-
"Manitowoc, Wis.",20.6,-2.7,34.8,53.5,49439,2031,NaN,-
