Name,Population-weighted tree cover,5-year change,Annual rainfall (inches),Average annual temperature (daily high),Total population,Population density (persons per sq mi),Tree cover in peer cities,List of peer cities
"Dayton, Ohio",27.1,0.2,44.4,63.4,707204,2162,27.4,"Toledo, Ohio/Mich. // Fort Wayne, Ind. // Columbus, Ohio // Indianapolis, Ind. // Cincinnati, Ohio/Ky."
"Des Moines, Iowa",23.1,-0.7,39.4,60.8,564974,2483,22.8,"Omaha, Neb./Iowa // Davenport, Iowa/Ill. // Cedar Rapids, Iowa // Iowa City, Iowa // Waterloo, Iowa"
"El Paso, Texas/N.M.",4.4,-0.6,8.4,79.4,875450,3408,10.1,"Tucson, Ariz. // Albuquerque, N.M. // Odessa, Texas // Las Cruces, N.M. // Roswell, N.M."
"Fresno, Calif.",14.4,-0.7,11.4,79,741818,4617,12.1,"Bakersfield, Calif. // Stockton, Calif. // Modesto, Calif. // Palmdale–Lancaster, Calif. // Visalia, Calif."
"Grand Rapids, Mich.",33.3,-0.8,42.4,58.4,647184,2307,31.9,"Fort Wayne, Ind. // Lansing, Mich. // South Bend, Ind./Mich. // Round Lake Beach–McHenry–Grayslake, Ill./Wis. // Kalamazoo, Mich."
"Harrisburg, Pa.",31.6,6.2,48.6,63.4,546842,2083,29.9,"Lancaster–Manheim, Pa. // Allentown–Bethlehem, Pa./N.J. // York, Pa. // Bel Air–Aberdeen, Md. // Frederick, Md."
"Honolulu, Hawaii",16.8,NaN,NaN,NaN,858581,5763,NaN,-
"Knoxville, Tenn.",40.5,0.6,59.9,70.2,684540,1569,47.4,"Greenville, S.C. // Chattanooga, Tenn./Ga. // Nashville-Davidson, Tenn. // Asheville, N.C. // Gainesville, Ga."
"Little Rock, Ark.",44.6,0.7,59.5,73,508535,1878,34.6,"Fayetteville–Springdale–Rogers, Ark./Mo. // Jackson, Miss. // Memphis, Tenn./Miss./Ark. // Fort Smith, Ark./Okla. // Conway, Ark."
"McAllen, Texas",13.8,1.8,23.9,86.8,825236,2509,14.2,"Corpus Christi, Texas // Laredo, Texas // Brownsville, Texas // Harlingen, Texas // Rio Grande City–Roma, Texas"
"McKinney–Frisco, Texas",15.9,2.3,43.2,76.2,582172,3323,24.2,"Denton–Lewisville, Texas // Oklahoma City, Okla. // College Station–Bryan, Texas // Waco, Texas // Norman, Okla."
"Mission Viejo–Lake Forest–Laguna Niguel, Calif.",17.2,4.2,12.5,74.2,702309,3909,11,"Temecula–Murrieta–Menifee, Calif. // Oxnard–San Buenaventura (Ventura), Calif. // Palmdale–Lancaster, Calif. // Santa Clarita, Calif. // San Diego, Calif."
"New Haven, Conn.",40.8,-1.6,50.2,61.7,633860,1893,42.4,"Worcester, Mass./Conn. // Springfield, Mass./Conn. // Bridgeport–Stamford, Conn./N.Y. // Hartford, Conn. // Poughkeepsie–Newburgh, N.Y."
"New Orleans, La.",17.3,-1.4,69.6,78.9,971095,3321,33,"Baton Rouge, La. // Mobile, Ala. // Lafayette, La. // Houma, La. // Slidell, La."
"Ogden–Layton, Utah",13,-0.4,20.1,64.1,625508,2869,15,"Provo–Orem, Utah // Salt Lake City, Utah // Logan, Utah // Flagstaff, Ariz. // Pocatello, Idaho"
"Omaha, Neb./Iowa",21.1,-0.9,33.6,62,839271,3043,23.7,"Des Moines, Iowa // Kansas City, Mo./Kan. // Lincoln, Neb. // Sioux Falls, S.D. // Sioux City, Iowa/Neb./S.D."
"Palm Bay–Melbourne, Fla.",30.4,1.7,56.1,82.4,529580,1730,29.8,"Kissimmee–St. Cloud, Fla. // Port St. Lucie, Fla. // Bradenton–Sarasota–Venice, Fla. // Winter Haven, Fla. // Lakeland, Fla."
"Provo–Orem, Utah",9.3,0.3,17.9,65.6,626680,3743,15.8,"Ogden–Layton, Utah // Salt Lake City, Utah // Logan, Utah // Flagstaff, Ariz. // Pocatello, Idaho"
"Rochester, N.Y.",34.9,-3.6,39.2,58.3,737510,2454,33.1,"Albany–Schenectady, N.Y. // Buffalo, N.Y. // Syracuse, N.Y. // Scranton, Pa. // Binghamton, N.Y."
"Temecula–Murrieta–Menifee, Calif.",11.5,4.6,12.9,78.2,571816,3729,9.7,"Mission Viejo–Lake Forest–Laguna Niguel, Calif. // Victorville–Hesperia–Apple Valley, Calif. // Palmdale–Lancaster, Calif. // Santa Clarita, Calif. // Hemet, Calif."
"Toledo, Ohio/Mich.",27.8,1,36.7,60.8,520455,2107,32.9,"Akron, Ohio // Ann Arbor, Mich. // Fort Wayne, Ind. // Lansing, Mich. // Lorain–Elyria, Ohio"
"Tucson, Ariz.",14.6,4.5,11.6,85.3,905571,2525,6.6,"Phoenix West–Goodyear–Avondale, Ariz. // Phoenix–Mesa–Scottsdale, Ariz. // St. George, Utah // Maricopa, Ariz. // Casa Grande, Ariz."
"Tulsa, Okla.",24.8,1.3,43.5,72.5,766122,2225,22.6,"McKinney–Frisco, Texas // Oklahoma City, Okla. // Wichita, Kan. // Fayetteville–Springdale–Rogers, Ark./Mo. // Norman, Okla."
"Wichita, Kan.",25,3.8,35.9,69.3,520852,2247,26.1,"Tulsa, Okla. // Oklahoma City, Okla. // Topeka, Kan. // Norman, Okla. // Manhattan, Kan."
"Worcester, Mass./Conn.",47,0.5,51.3,59.9,574383,1925,41.4,"New Haven, Conn. // Springfield, Mass./Conn. // Nashua, N.H./Mass. // Hartford, Conn. // Providence, R.I./Mass."
"Anchorage, Alaska",25.2,NaN,18.4,45.6,252957,2785,NaN,-
"Ann Arbor, Mich.",35.5,1.9,36.7,59.8,353239,2191,34.1,"Lansing, Mich. // Flint, Mich. // Toledo, Ohio/Mich. // Lorain–Elyria, Ohio // Kalamazoo, Mich."
"Antioch, Calif.",11,1.2,14.9,75.3,331854,4123,15.1,"Modesto, Calif. // Stockton, Calif. // Livermore–Pleasanton–Dublin, Calif. // Merced, Calif. // Tracy–Mountain House, Calif."
"Asheville, N.C.",55.9,3.7,54.3,67.4,341404,1364,36.2,"Hickory, N.C. // Johnson City, Tenn. // Kingsport, Tenn./Va. // Bristol, Tenn./Va. // Morristown, Tenn."
"Atlantic City–Ocean City–Villas, N.J.",35.9,0.9,52.2,64.6,323516,1948,34,"Trenton, N.J. // Bel Air–Aberdeen, Md. // Allentown–Bethlehem, Pa./N.J. // Dover, Del. // Vineland, N.J."
"Augusta-Richmond County, Ga./S.C.",44.6,-1.1,50.6,76.3,473015,1717,46.5,"Columbia, S.C. // Savannah, Ga. // Rock Hill, S.C. // Warner Robins, Ga. // Macon-Bibb County, Ga."
"Barnstable Town, Mass.",55.3,-3.3,51.4,59.8,331568,879,48.8,"Nashua, N.H./Mass. // Portland, Maine // Norwich–New London, Conn. // Portsmouth, N.H./Maine // Riverhead–Southold, N.Y."
"Boise City, Idaho",19.8,3.1,13.8,65.1,442430,3128,12.4,"Spokane, Wash. // Kennewick–Richland–Pasco, Wash. // Nampa, Idaho // Twin Falls, Idaho // Lewiston, Idaho/Wash."
"Bonita Springs–Estero, Fla.",31.4,-0.8,59.5,85.1,444883,1622,29.7,"Port St. Lucie, Fla. // Cape Coral, Fla. // Lakeland, Fla. // Bradenton–Sarasota–Venice, Fla. // Port Charlotte–North Port, Fla."
"Canton, Ohio",29.6,0.3,42.1,61.1,333064,1629,36.6,"Youngstown, Ohio // Lorain–Elyria, Ohio // Akron, Ohio // Newark, Ohio // Steubenville–Weirton, Ohio/W.Va./Pa."
"Chattanooga, Tenn./Ga.",48.5,0.6,62.6,71.8,431650,1467,43.3,"Huntsville, Ala. // Knoxville, Tenn. // Birmingham, Ala. // Gainesville, Ga. // Cleveland, Tenn."
"Columbus, Ga./Ala.",47.5,0.6,57.8,77.2,290233,2019,42.6,"Montgomery, Ala. // Tuscaloosa, Ala. // Warner Robins, Ga. // Macon-Bibb County, Ga. // Auburn, Ala."
"Concord, N.C.",46.3,1.1,50.3,72.1,375971,1676,47.5,"Greensboro, N.C. // Winston-Salem, N.C. // Rock Hill, S.C. // Gastonia, N.C. // High Point, N.C."
"Corpus Christi, Texas",12.5,-0.3,32.8,81.5,350584,2628,19.8,"Brownsville, Texas // Harlingen, Texas // New Braunfels, Texas // San Marcos, Texas // Victoria, Texas"
"Davenport, Iowa/Ill.",28.7,-2,41.2,60.5,300696,2112,26.4,"Rockford, Ill. // Round Lake Beach–McHenry–Grayslake, Ill./Wis. // Peoria, Ill. // Cedar Rapids, Iowa // Iowa City, Iowa"
"Daytona Beach–Palm Coast–Port Orange, Fla.",36.5,-2.1,53.7,80.8,431518,1912,34.2,"Palm Bay–Melbourne, Fla. // Deltona, Fla. // Ocala, Fla. // The Villages–Lady Lake, Fla. // Leesburg–Eustis–Tavares, Fla."
"Denton–Lewisville, Texas",26.1,0.7,39.6,77.2,468073,2346,22,"McKinney–Frisco, Texas // Killeen, Texas // College Station–Bryan, Texas // Waco, Texas // Temple, Texas"
"Durham, N.C.",55.2,2.1,51.2,71.1,425323,2179,44.2,"Greensboro, N.C. // Fayetteville, N.C. // High Point, N.C. // Burlington, N.C. // Raleigh, N.C."
"Eugene, Ore.",22.7,1.5,39.3,64.1,280200,3800,25.4,"Salem, Ore. // Bellingham, Wash. // Corvallis, Ore. // Albany, Ore. // Portland, Ore./Wash."
"Fayetteville, N.C.",38.2,-1.7,52.4,74.2,355568,1797,45.5,"Myrtle Beach–North Myrtle Beach, S.C./N.C. // Concord, N.C. // Durham, N.C. // Rock Hill, S.C. // Florence, S.C."
"Fayetteville–Springdale–Rogers, Ark./Mo.",29.3,2.1,53.7,69.4,433548,2146,30.8,"Little Rock, Ark. // Springfield, Mo. // Tulsa, Okla. // Fort Smith, Ark./Okla. // Joplin, Mo."
"Flint, Mich.",35.2,2.3,35.3,58.2,326271,1575,34.7,"Lansing, Mich. // Ann Arbor, Mich. // South Lyon–Hamburg–Genoa, Mich. // Saginaw, Mich. // Port Huron, Mich."
"Fort Collins, Colo.",16.5,1.8,15.8,65.3,344314,2755,14.2,"Colorado Springs, Colo. // Greeley, Colo. // Longmont, Colo. // Lafayette–Erie–Louisville, Colo. // Castle Rock, Colo."
"Fort Wayne, Ind.",23.4,-1.2,41.8,60.5,350804,2141,32.3,"Lansing, Mich. // South Bend, Ind./Mich. // Toledo, Ohio/Mich. // Kalamazoo, Mich. // Elkhart, Ind./Mich."
"Greensboro, N.C.",44.2,1.7,50.9,70.5,395884,2095,47.5,"Concord, N.C. // Durham, N.C. // Winston-Salem, N.C. // High Point, N.C. // Burlington, N.C."
"Greenville, S.C.",44.9,-0.4,56,72.5,466877,1582,46.4,"Concord, N.C. // Hickory, N.C. // Spartanburg, S.C. // Mauldin–Simpsonville, S.C. // Anderson–Clemson, S.C."
"Gulfport–Biloxi, Miss.",41.4,-2.6,72.4,78.1,255389,1433,49.2,"Mobile, Ala. // Pensacola, Fla./Ala. // Mandeville–Covington, La. // Hammond, La. // Fairhope–Daphne, Ala."
"Hickory, N.C.",48.6,2.8,56.2,70.5,265536,1189,44.6,"Spartanburg, S.C. // Asheville, N.C. // Mauldin–Simpsonville, S.C. // Johnson City, Tenn. // Greenville, S.C."
"Huntington, W.Va./Ky./Ohio",34.6,1.6,50,66.7,253408,1796,36,"Roanoke, Va. // Charleston, W.Va. // Johnson City, Tenn. // Bristol, Tenn./Va. // Parkersburg, W.Va./Ohio"
"Huntsville, Ala.",31.3,-0.2,62.6,72.2,369248,1688,36.9,"Chattanooga, Tenn./Ga. // Murfreesboro, Tenn. // Birmingham, Ala. // Florence, Ala. // Decatur, Ala."
"Indio–Palm Desert–Palm Springs, Calif.",8.4,-0.4,3.8,88.6,367112,2397,4.2,"Phoenix West–Goodyear–Avondale, Ariz. // Yuma, Ariz./Calif. // El Centro, Calif. // Bullhead City, Ariz./Nev. // Lake Havasu City, Ariz."
"Jackson, Miss.",47.5,0,63,76.8,385356,1572,43.5,"Baton Rouge, La. // Tuscaloosa, Ala. // Mandeville–Covington, La. // Monroe, La. // Hattiesburg, Miss."
"Kennewick–Richland–Pasco, Wash.",9.9,-0.5,8.1,65.8,264930,2274,13.2,"Nampa, Idaho // Yakima, Wash. // Bend, Ore. // Wenatchee, Wash. // Lewiston, Idaho/Wash."
"Killeen, Texas",15.9,-1.1,33.7,79.5,271020,2674,25.1,"College Station–Bryan, Texas // Waco, Texas // Temple, Texas // New Braunfels, Texas // San Marcos, Texas"
"Kissimmee–St. Cloud, Fla.",29.5,2,55.9,84.1,465789,2313,32.7,"Palm Bay–Melbourne, Fla. // Winter Haven, Fla. // Lakeland, Fla. // Bradenton–Sarasota–Venice, Fla. // Deltona, Fla."
"Lakeland, Fla.",32.6,-2.5,58.3,84.4,298195,1824,31.9,"Winter Haven, Fla. // Deltona, Fla. // Port Charlotte–North Port, Fla. // Kissimmee–St. Cloud, Fla. // Palm Bay–Melbourne, Fla."
"Lancaster–Manheim, Pa.",24.2,2,48.7,63.8,467734,2551,29.1,"Trenton, N.J. // Harrisburg, Pa. // Allentown–Bethlehem, Pa./N.J. // Reading, Pa. // York, Pa."
"Lansing, Mich.",34.4,1.7,37.8,58.4,336701,2115,33,"Flint, Mich. // Ann Arbor, Mich. // Kalamazoo, Mich. // Toledo, Ohio/Mich. // Saginaw, Mich."
"Laredo, Texas",10.7,-1.7,20,86.6,252612,3900,14.7,"Brownsville, Texas // Harlingen, Texas // McAllen, Texas // Eagle Pass, Texas // Rio Grande City–Roma, Texas"
"Lexington-Fayette, Ky.",26.7,3.3,55.8,66.2,324813,3733,24.6,"Bloomington, Ind. // Bowling Green, Ky. // Louisville/Jefferson County, Ky./Ind. // Owensboro, Ky. // Richmond, Ky."
"Lincoln, Neb.",21.3,-1.6,33.2,63.7,296680,3114,28,"Topeka, Kan. // Sioux City, Iowa/Neb./S.D. // Omaha, Neb./Iowa // Lawrence, Kan. // Manhattan, Kan."
